id,name,state,postcode,lat,lng
171,GILLEN,NT,0870,-23.7072010,133.8648040
172,ILPARPA,NT,0870,-23.757120,133.812873
173,IRLPME,NT,0870,-23.696737,133.825131
174,LARAPINTA,NT,0870,-23.699194,133.844910
175,MOUNT JOHNS,NT,0870,-23.7232760,133.8805160
176,ROSS,NT,0870,-23.752438,133.907400
177,SADADEEN,NT,0870,-23.704697,133.892823
178,STUART,NT,0870,-23.730035,133.863352
179,THE GAP,NT,0870,-23.712531,133.875422
180,UNDOOLYA,NT,0870,-23.693917,133.936802
181,WHITE GUMS,NT,0870,-23.7468190,133.7608670
182,AHERRENGE,NT,0872,,
183,ALI CURUNG,NT,0872,-20.998545,134.382200
184,AMATA,NT,0872,-25.962716,131.606872
185,AMOONGUNA,NT,0872,,
186,AMPILATWATJA,NT,0872,,
187,ANATYE,NT,0872,-23.3794380,136.4954090
188,ANMATJERE,NT,0872,,
189,ANTEWENEGERRDE,NT,0872,,
190,AREYONGA,NT,0872,,
191,ATITJERE,NT,0872,,
192,AYERS ROCK,NT,0872,-25.247968,131.020153
193,BARROW CREEK,NT,0872,-21.379898,133.975551
194,BURT PLAIN,NT,0872,,
195,CANTEEN CREEK,NT,0872,-20.645254,135.585443
196,CHILLA WELL,NT,0872,,
197,COSTELLO,NT,0872,-12.480902,130.998679
198,DAVENPORT,NT,0872,-12.489358,130.998295
199,DOCKER RIVER,NT,0872,-24.859843,129.122064
200,ENGAWALA,NT,0872,-22.808098,134.470300
201,ERLDUNDA,NT,0872,-24.997521,133.199228
202,ERNABELLA,SA,0872,-26.252362,131.133962
203,FINKE,NT,0872,-25.593683,134.585025
204,FREGON,SA,0872,-26.765569,132.025096
205,GHAN,NT,0872,-23.693588,133.870296
206,GIBSON DESERT NORTH,WA,0872,-22.590927,125.664556
207,GIBSON DESERT SOUTH,WA,0872,-22.590927,125.664556
208,HAASTS BLUFF,NT,0872,-23.451356,131.852864
209,HALE,NT,0872,-12.487168,130.995470
210,HART,NT,0872,-12.388903,130.855439
211,HART RANGE,NT,0872,,
212,HERMANNSBURG,NT,0872,-23.966667,132.666667
213,HUGH,NT,0872,-12.498836,130.998150
214,IMANPA,NT,0872,-25.1513970,132.5737420
215,INDULKANA,SA,0872,-26.9690806,133.3149785
216,ININTI STORE,NT,0872,,
217,JAY CREEK,NT,0872,,
218,KALTUKATJARA,NT,0872,-24.859558,129.054951
219,KINTORE,NT,0872,-23.315866,129.541379
220,KIWIRRKURRA,NT,0872,,
221,KULGERA,NT,0872,-25.841158,133.323393
222,KUNPARRKA,NT,0872,,
223,LAKE MACKAY,NT,0872,,
224,LARAMBA,NT,0872,,
225,MEREENIE,NT,0872,-24.165690,131.481050
226,MIMILI,SA,0872,,
227,MOUNT LIEBIG,NT,0872,-23.268778,131.265304
228,MOUNT ZEIL,NT,0872,,
229,MULGA BORE,NT,0872,,
230,MURPUTJA HOMELANDS,NT,0872,,
231,MUTITJULU,NT,0872,,
232,NAMATJIRA,NT,0872,-23.748896,132.903810
233,NGAANYATJARRA-GILES,WA,0872,,
234,NYAPARI,NT,0872,,
235,NYIRRIPI,NT,0872,,
236,PAPUNYA,NT,0872,-23.311120,131.927387
237,PATJARR,NT,0872,,
238,PETERMANN,NT,0872,-25.062020,129.743338
239,PITJANTJATJARA HOMELANDS,NT,0872,-26.9285720,130.6346851
240,SANDOVER,NT,0872,-21.820584,135.939079
241,SANTA TERESA,NT,0872,-24.730598,135.332238
242,SIMPSON,NT,0872,-26.793062,137.456760
243,TANAMI,NT,0872,-21.868227,131.222983
244,TARA,NT,0872,,
245,THANGKENHARENGE,NT,0872,,
246,TI TREE,NT,0872,-12.477758,131.068332
247,TITJIKALA,NT,0872,,
248,TJIRRKARLI,NT,0872,,
249,TJUKURLA,NT,0872,-24.380845,128.705487
250,ULURU,NT,0872,-25.247968,131.020153
251,UMPANGARA,NT,0872,,
252,URAPUNTJA,NT,0872,-14.7028380,134.5650860
253,WALLACE ROCKHOLE,NT,0872,,
254,WANARN,NT,0872,,
255,WILLOWRA,NT,0872,-21.238967,132.635639
256,WILORA,NT,0872,,
257,WINGELLINA,NT,0872,,
258,WUTUNUGURRA,NT,0872,,
259,YUELAMU,NT,0872,-22.259176,132.212843
260,YUENDUMU,NT,0872,-22.254723,131.781952
261,YULARA,NT,0872,-25.245139,130.985705
262,GAPUWIYAK,NT,0880,-12.5037680,135.8118430
263,GOVE,NT,0880,-12.270118,136.836442
264,GUNYANGARA,NT,0880,-12.2223950,136.7027350
265,NHULUNBUY,NT,0880,-12.177476,136.782432
266,YIRRKALA,NT,0880,-12.257667,136.885080
267,ALYANGULA,NT,0885,,
268,JABIRU,NT,0886,-12.676689,132.827836
269,BARANGAROO,NSW,2000,-33.788076,150.954545
270,DAWES POINT,NSW,2000,-33.855601,151.208220
271,HAYMARKET,NSW,2000,-33.880777,151.202796
272,MILLERS POINT,NSW,2000,-33.858315,151.203519
273,PARLIAMENT HOUSE,NSW,2000,-33.867230,151.213051
274,SYDNEY,NSW,2000,-33.867139,151.207114
275,SYDNEY SOUTH,NSW,2000,-33.867139,151.207114
276,THE ROCKS,NSW,2000,-33.859251,151.208782
277,THE UNIVERSITY OF SYDNEY,NSW,2006,-33.887926,151.186923
278,ULTIMO,NSW,2007,-33.878416,151.197272
279,CHIPPENDALE,NSW,2008,-33.886844,151.201715
280,DARLINGTON,NSW,2008,-33.891348,151.191243
281,PYRMONT,NSW,2009,-33.869709,151.193930
282,DARLINGHURST,NSW,2010,-33.879825,151.219560
283,SURRY HILLS,NSW,2010,-33.888821,151.213328
284,ELIZABETH BAY,NSW,2011,-33.872829,151.226593
285,HMAS KUTTABUL,NSW,2011,-33.867206,151.225205
286,POTTS POINT,NSW,2011,-33.869026,151.225603
287,RUSHCUTTERS BAY,NSW,2011,-33.876240,151.228614
288,WOOLLOOMOOLOO,NSW,2011,-33.869283,151.220412
289,ALEXANDRIA,NSW,2015,-33.897571,151.195567
290,BEACONSFIELD,NSW,2015,-33.911613,151.201890
291,EVELEIGH,NSW,2015,-33.897075,151.191130
292,REDFERN,NSW,2016,-33.892778,151.203901
293,WATERLOO,NSW,2017,-33.900400,151.206144
294,ZETLAND,NSW,2017,-33.909938,151.206234
295,EASTLAKES,NSW,2018,-33.925133,151.213199
296,ROSEBERY,NSW,2018,-33.920412,151.203107
297,BANKSMEADOW,NSW,2019,-33.957420,151.206715
298,BOTANY,NSW,2019,-33.944770,151.196528
299,MASCOT,NSW,2020,-33.931189,151.194310
300,CENTENNIAL PARK,NSW,2021,-33.894837,151.230497
301,MOORE PARK,NSW,2021,-33.893632,151.219357
302,PADDINGTON,NSW,2021,-33.885032,151.226475
303,BONDI JUNCTION,NSW,2022,-33.892324,151.247330
304,BONDI JUNCTION PLAZA,NSW,2022,-33.890788,151.250636
305,QUEENS PARK,NSW,2022,-33.903188,151.247205
306,BELLEVUE HILL,NSW,2023,-33.887189,151.258935
307,BRONTE,NSW,2024,-33.902328,151.263838
308,WAVERLEY,NSW,2024,-33.897955,151.252059
309,WOOLLAHRA,NSW,2025,-33.888444,151.237165
310,BONDI,NSW,2026,-33.893739,151.262502
311,BONDI BEACH,NSW,2026,-33.890542,151.274856
312,NORTH BONDI,NSW,2026,-33.885700,151.279788
313,TAMARAMA,NSW,2026,-33.897439,151.271839
314,DARLING POINT,NSW,2027,-33.873808,151.236683
315,EDGECLIFF,NSW,2027,-33.878586,151.235106
316,HMAS RUSHCUTTERS,NSW,2027,-33.872495,151.235668
317,POINT PIPER,NSW,2027,-33.870083,151.252329
318,DOUBLE BAY,NSW,2028,-33.878741,151.243032
319,ROSE BAY,NSW,2029,-33.870395,151.268625
320,DOVER HEIGHTS,NSW,2030,-33.874405,151.280416
321,HMAS WATSON,NSW,2030,-33.837706,151.281602
322,VAUCLUSE,NSW,2030,-33.859047,151.278434
323,WATSONS BAY,NSW,2030,-33.844806,151.282368
324,CLOVELLY,NSW,2031,-33.912639,151.262021
325,RANDWICK,NSW,2031,-33.913164,151.241993
326,DACEYVILLE,NSW,2032,-33.928043,151.225130
327,KINGSFORD,NSW,2032,-33.924922,151.227811
328,KENSINGTON,NSW,2033,-33.909003,151.223419
329,COOGEE,NSW,2034,-33.920491,151.254401
330,SOUTH COOGEE,NSW,2034,-33.931293,151.256089
331,MAROUBRA,NSW,2035,-33.946123,151.242818
332,PAGEWOOD,NSW,2035,-33.940108,151.228411
333,CHIFLEY,NSW,2036,-33.976546,151.240248
334,EASTGARDENS,NSW,2036,-33.946043,151.223301
335,HILLSDALE,NSW,2036,-33.952685,151.231341
336,LA PEROUSE,NSW,2036,-33.989634,151.231507
337,LITTLE BAY,NSW,2036,-33.981177,151.243206
338,MALABAR,NSW,2036,-33.965376,151.245969
339,MATRAVILLE,NSW,2036,-33.957549,151.230846
340,PHILLIP BAY,NSW,2036,-33.980556,151.236692
341,PORT BOTANY,NSW,2036,-33.966245,151.225013
342,FOREST LODGE,NSW,2037,-33.881215,151.181127
343,GLEBE,NSW,2037,-33.880815,151.187791
344,ANNANDALE,NSW,2038,-33.881435,151.170681
345,ROZELLE,NSW,2039,-33.863063,151.170573
346,LEICHHARDT,NSW,2040,-33.883793,151.157057
347,LILYFIELD,NSW,2040,-33.872991,151.165788
348,BALMAIN,NSW,2041,-33.856498,151.178009
349,BALMAIN EAST,NSW,2041,-33.857833,151.190598
350,BIRCHGROVE,NSW,2041,-33.853386,151.180609
351,ENMORE,NSW,2042,-33.899362,151.171098
352,NEWTOWN,NSW,2042,-33.896449,151.180013
353,ERSKINEVILLE,NSW,2043,-33.899681,151.184114
354,ST PETERS,NSW,2044,-33.911062,151.180126
355,SYDENHAM,NSW,2044,-33.915222,151.166104
356,TEMPE,NSW,2044,-33.924777,151.160747
357,HABERFIELD,NSW,2045,-33.880496,151.138839
358,ABBOTSFORD,NSW,2046,-33.852469,151.129453
359,CANADA BAY,NSW,2046,-33.863194,151.116398
360,CHISWICK,NSW,2046,-33.851437,151.135954
361,FIVE DOCK,NSW,2046,-33.866368,151.130136
362,RODD POINT,NSW,2046,-33.868208,151.141652
363,RUSSELL LEA,NSW,2046,-33.860720,151.140711
364,WAREEMBA,NSW,2046,-33.856828,151.130728
365,DRUMMOYNE,NSW,2047,-33.851056,151.154542
366,STANMORE,NSW,2048,-33.897351,151.165350
367,LEWISHAM,NSW,2049,-33.894902,151.144413
368,PETERSHAM,NSW,2049,-33.896242,151.154136
369,CAMPERDOWN,NSW,2050,-33.888633,151.177463
370,HMAS PLATYPUS,NSW,2060,,
371,HMAS WATERHEN,NSW,2060,-33.840633,151.194970
372,LAVENDER BAY,NSW,2060,-33.843070,151.208015
373,MCMAHONS POINT,NSW,2060,-33.844640,151.204250
374,NORTH SYDNEY,NSW,2060,-33.838265,151.206481
375,WAVERTON,NSW,2060,-33.839969,151.195808
376,KIRRIBILLI,NSW,2061,-33.846275,151.212705
377,MILSONS POINT,NSW,2061,-33.847526,151.211568
378,CAMMERAY,NSW,2062,-33.821953,151.210430
